Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
38,0.830587,0.168225,0.990134,0.985896,0.977475,0.830587,4438.839573,5344.220184,168.175320,999.705063,650.224009,656.702744,1837.534390,1863.822021,1782.905854,1823.990356,4715.837265,4846.837142,0.926118,0.918501,0.924073,0.923726,0.925092,37336681.214031,40359971.729492,31314067.172222,33812166.509766,4603633.994643,5012114.437988,1124755.607960,1217171.549805,294224.439207,318519.231934,4715.837265,100.000000,
39,0.549920,0.157468,0.749339,0.637052,0.652847,0.549920,2850.866508,5184.144936,181.671192,1153.704071,489.878995,653.748589,1014.258582,1592.113358,1165.057740,1784.578918,4715.837265,4715.837265,0.472201,0.486490,0.495715,0.483370,0.474545,24262327.533896,51127533.030273,20574788.727281,43572119.776367,2804008.464669,5763755.183594,702579.179651,1417304.369629,180951.162296,374353.700684,4715.837265,100.000000,
40,0.444185,0.160732,0.740531,0.454421,0.508487,0.444185,2408.583008,5422.477448,186.252607,1158.780655,481.909442,650.762177,812.825680,1788.707870,927.595279,1824.226746,4742.840160,4742.840160,0.285243,0.405849,0.412795,0.402273,0.302875,15857559.435084,52356853.098633,12771347.972122,44773555.397461,2347046.599209,5783054.950195,587526.514931,1423288.837402,151638.348822,376953.913574,4742.840160,100.000000,
41,0.348575,0.138685,0.508756,0.345604,0.408450,0.348575,1864.363541,5348.528763,138.459526,998.377525,336.197089,660.821556,644.512785,1864.886597,745.194141,1824.443085,4723.162990,4846.597009,0.393181,0.367274,0.376285,0.362222,0.389200,15756403.805960,40484067.711426,13328576.343324,33899305.890625,1850589.036870,5038721.204102,460977.255391,1225073.569824,116261.170375,320967.046875,4723.162990,100.000000,
42,0.646872,0.168902,0.867492,0.752557,0.778933,0.646872,3386.439771,5235.102390,194.976507,1154.373440,550.352028,634.417717,1236.417665,1642.956131,1404.693570,1803.355103,4723.162990,4723.162990,0.535619,0.588478,0.595792,0.584951,0.543438,28823839.328623,53039810.793945,24300151.369590,45368331.474609,3442028.466603,5849039.167969,858475.362206,1440897.111328,223184.130224,381543.040039,4723.162990,100.000000,
43,0.499612,0.164258,0.773437,0.525317,0.587049,0.499612,2753.452104,5511.180592,190.533177,1159.965801,510.140706,659.576561,973.458500,1853.087692,1079.319722,1838.550537,4733.413814,4748.688769,0.363449,0.426785,0.438522,0.428946,0.373105,19175979.827971,51395614.843750,15931824.119511,43835133.423340,2461314.264762,5767108.359375,621956.917945,1418303.667480,160884.525753,375069.393555,4733.413814,100.000000,
44,0.821969,0.176788,1.000000,1.000000,1.000000,0.821969,4395.052500,5346.979588,204.429652,1156.355976,645.608273,645.608368,1712.599944,1712.600327,1832.414631,1832.414917,4733.413814,4733.413814,1.000000,0.999999,0.999999,0.999999,1.000000,53301761.766073,53301770.984863,45560395.106370,45560396.043945,5902589.338644,5902595.710449,1453490.129491,1453491.756836,385287.191568,385287.473633,4733.413814,100.000000,
45,0.522348,0.167704,0.822870,0.541685,0.616022,0.522348,2910.221056,5571.417431,194.397859,1159.170055,544.432988,661.626602,1013.427524,1870.879562,1157.962685,1879.741211,4756.072405,4756.072405,0.409867,0.485070,0.494538,0.488352,0.421847,20849546.009655,49424374.409180,17111308.587339,41748480.144043,2839560.686166,5853921.950684,712490.684956,1440718.695312,186186.051194,381253.619141,4756.072405,100.000000,
46,0.610262,0.171621,0.878789,0.670348,0.718334,0.610262,3539.036630,5799.204506,199.830861,1164.374443,580.704984,660.801376,1343.605534,2004.339600,1414.895250,1969.689087,4767.598554,4767.598554,0.509871,0.510255,0.512672,0.497648,0.509904,25282488.460360,49582805.416992,21287846.759384,41751408.643066,3045609.016264,5968797.437012,754615.665687,1471927.782715,194417.019024,390671.554199,4767.598554,100.000000,
47,0.441609,0.167932,0.758529,0.428953,0.506237,0.441609,2617.433686,5927.033764,196.669002,1171.125187,524.026429,690.845863,894.420781,2085.124542,1002.317475,1979.938171,4557.341233,4793.785185,0.359169,0.392377,0.399278,0.387368,0.364855,17139180.718883,46975353.241211,14071578.892785,39178172.345215,2333290.499976,5946552.713867,584573.775151,1464076.801270,149737.550971,386551.380859,4557.341233,100.000000,
48,-nan,-nan,0.499576,0.520262,0.444369,-nan,-nan,4379.878296,-nan,939.620560,318.220861,636.982162,745.953152,1433.803116,608.550990,1369.472458,4557.341233,4557.341233,0.279768,0.356403,0.372948,0.362728,0.291671,12654491.924744,43386137.036133,10332489.079286,36932346.486816,1760265.374751,4938976.508789,447825.495004,1200771.746582,113911.975702,314042.293945,4557.341233,nan,
49,0.839802,0.179206,1.000000,1.000000,1.000000,0.839802,5037.817275,5998.813801,209.815925,1170.811497,695.841570,695.841705,2046.578682,2046.579117,2085.581098,2085.581482,4805.326889,4805.326889,1.000000,0.999999,0.999999,0.999999,1.000000,46108556.255221,46108568.431641,38330441.989115,38330446.187500,5933927.144969,5933933.318359,1459623.329783,1459624.856445,384563.791355,384564.069336,4805.326889,100.000000,
50,0.496041,0.172504,0.775560,0.531796,0.543032,0.496041,3031.427175,6111.242435,203.893734,1181.968136,579.771166,747.551704,1090.771766,2051.110535,1156.990509,2130.612061,4787.253368,4834.510068,0.403194,0.430436,0.440317,0.427560,0.408102,19152827.396804,46931422.934570,15714861.251451,38975924.704102,2610528.102073,6064848.619629,658276.072396,1495004.194824,169161.970884,395645.416016,4787.253368,100.000000,
51,0.482154,0.172368,0.806645,0.517911,0.516012,0.482154,2837.013571,5884.043747,201.582953,1169.492699,551.752274,684.009010,1055.341877,2037.689011,1028.336467,1992.853027,4787.253368,4787.253368,0.371704,0.394524,0.406556,0.394387,0.375810,17678329.133107,47040559.386230,14621421.346312,39336193.263672,2318132.049731,5875769.149414,588008.057200,1446313.537598,150767.679865,382283.435547,4787.253368,100.000000,
52,-nan,-nan,0.864650,0.637022,0.649245,-nan,-nan,6008.457230,-nan,1176.426682,619.453498,716.420975,1297.738900,2037.194839,1349.400733,2078.414734,4811.667993,4811.667993,0.462051,0.490838,0.503906,0.492479,0.467371,21265198.214292,45499619.000000,17452419.127861,37771626.308105,2893374.590986,5894759.867188,730961.325682,1450591.028809,188443.169764,382641.795898,4811.667993,nan,
53,0.612706,0.177100,0.863305,0.663949,0.718378,0.612706,3738.649052,6101.864521,209.061675,1180.469959,643.594428,745.500549,1389.134528,2092.230560,1496.858420,2083.663452,4824.566775,4824.566775,0.520994,0.519557,0.537339,0.530489,0.521406,24081001.283209,46184734.231445,20009763.135415,38406874.048828,3081671.842162,5931340.017090,784982.154202,1460868.454102,204584.151430,385651.711426,4824.566775,100.000000,
54,0.476886,0.175578,0.739167,0.517722,0.509894,0.476886,2872.720317,6023.919716,209.507468,1193.247421,593.992622,803.597145,1047.481548,2023.250702,1021.738679,2003.824448,4844.726747,4868.018589,0.429927,0.369458,0.379804,0.371401,0.419607,19170828.706545,45687543.186035,16173256.966090,37618638.179688,2273422.365419,6153405.074707,575381.661652,1514941.873535,148767.713383,400558.058105,4844.726747,100.000000,
55,0.838779,0.182360,1.000000,1.000000,1.000000,0.838779,5058.641781,6030.959370,216.857464,1189.174152,770.256177,770.256317,2000.216735,2000.217133,2071.311406,2071.311768,4839.617487,4844.726747,1.000000,0.999999,0.999999,0.999999,1.000000,46365542.817264,46365556.869629,38446099.394040,38446105.107910,6040526.748428,6040533.099121,1486598.067968,1486599.738281,392318.606828,392318.924316,4839.617487,100.000000,
56,0.638935,0.179800,0.868981,0.774199,0.686268,0.638935,3848.602333,6023.467510,213.561005,1187.768101,656.862641,755.899757,1570.247673,2028.223236,1407.931015,2051.576416,4839.617487,4839.617487,0.520415,0.534781,0.547018,0.536672,0.523245,24000274.582657,45868159.114258,19839321.269648,38122099.117676,3160260.137487,5909448.040039,794936.623234,1453218.543945,205756.552288,383393.412598,4839.617487,100.000000,
57,0.597697,0.179324,0.866912,0.664485,0.674171,0.597697,3566.182028,5966.537567,213.160687,1188.688736,679.656498,783.997421,1315.391520,1979.564789,1357.973323,2014.286621,4849.569526,4849.569526,0.533085,0.481062,0.496269,0.489447,0.524700,24073430.426339,45880338.506836,20251948.629716,37990092.542480,2895734.826425,6019461.553711,734533.436462,1480112.166016,191213.533736,390672.244629,4849.569526,100.000000,
58,0.590178,0.180407,0.814880,0.721850,0.612975,0.590178,3533.998260,5988.023304,214.046909,1186.466221,646.876256,793.830536,1435.004102,1987.954147,1238.070993,2019.772400,4855.679149,4855.679149,0.545222,0.473564,0.486398,0.480263,0.533076,24009598.840821,45039733.514648,20229129.525181,37102526.983887,2869671.404951,6059738.877930,723087.926887,1486619.291504,187709.983802,390848.361328,4855.679149,100.000000,
59,0.621929,0.179497,0.867400,0.730804,0.685243,0.621929,3688.314506,5930.441456,214.574662,1195.423138,679.109637,782.925179,1387.218007,1898.206848,1407.412200,2053.886292,4882.626376,4882.626376,0.584188,0.526657,0.539877,0.532768,0.574269,25649239.101072,44664148.090820,21364996.158738,36572103.443359,3251580.417118,6173996.255859,819270.899146,1517514.434082,213391.626071,400533.957520,4882.626376,100.000000,
